pair_id,cosine_score,manhattan_distance,euclidean_distance,dot_product
11150432_12939297,0.9791909,-69.933334,-3.166123,230.41151
12939297_17100990,0.9857805,-58.233368,-2.634772,240.45201
11150432_13797854,0.9840814,-59.335663,-2.7122774,226.67311
56915_7456642,0.6337116,-257.3161,-11.634683,115.87149
14917009_56915,0.8624362,-160.1236,-7.2950826,166.01407
11521104_14002111,0.9552309,-96.57468,-4.3971233,206.25543
11102639_1527391,0.86375713,-164.81529,-7.5069113,165.90999
9266019_4498251,0.82930225,-177.68623,-8.09936,159.29974
3808074_8136271,0.88345987,-147.17075,-6.6633058,165.57648
3808074_9266019,0.51757437,-293.8322,-13.297737,94.71534
12569673_8924117,0.910551,-137.11737,-6.144604,190.4158
5075823_3331790,0.9935703,-38.54033,-1.7426314,233.75578
15200431_10812193,0.9660122,-87.729614,-3.9940007,226.15408
14348791_7527680,0.9656078,-87.80962,-4.029913,227.98062
14327056_12069212,0.9772912,-70.743805,-3.233846,221.97504
14327056_11809928,0.9785269,-67.45564,-3.0686657,213.16113
1347167_408658,0.99810797,-20.404997,-0.9234191,224.75381
134185_12614988,0.9071642,-142.86472,-6.440167,202.48608
1347167_12614988,0.99643147,-28.097845,-1.2693323,224.92691
16447139_16146854,0.9647834,-88.66481,-4.08231,227.52643
14368617_3738515,0.987659,-53.441833,-2.40054,230.53824
12940644_16447139,0.97629607,-72.66213,-3.3553708,231.29588
6987736_7326195,0.9239011,-124.431335,-5.691628,194.63815
17557430_11880567,0.9584324,-96.35543,-4.3843913,211.48587
7326195_7776082,0.8796051,-159.04437,-7.103003,181.6029
12322819_4033853,0.8859762,-155.34535,-7.0986233,195.65982
7898608_4033853,0.88067114,-162.43073,-7.3778253,199.67603
17373292_10829538,0.9257365,-113.46733,-5.093535,158.72957
17373292_5770589,0.7738626,-198.22217,-8.8991375,134.26723
17213617_10829538,0.81530803,-184.72992,-8.313741,152.14009
2746665_11381633,0.988621,-48.894817,-2.214841,212.3773
5566545_6025778,0.9918686,-41.572372,-1.9005585,220.2416
5566545_11381633,0.97773635,-68.939606,-3.1302032,212.8342
9561276_14635088,0.7678608,-194.65604,-8.772232,126.776855
14084512_14635088,0.66912097,-262.01157,-11.8855295,136.7739
15564111_8081881,0.99690557,-27.191774,-1.2229795,240.92615
2378342_15096871,0.94036704,-107.248215,-4.864468,185.28131
10279661_16411613,0.97821456,-76.34532,-3.4687564,269.93286
8679099_9002894,0.97182804,-80.46089,-3.6036305,222.64935
3967374_9002894,0.96591604,-86.48244,-3.9604905,214.45341
16638707_6473393,0.9605949,-97.023865,-4.3811855,233.6038
1874398_1089843,0.9648842,-83.03191,-3.7797027,196.07481
13263761_17247922,0.957338,-95.42514,-4.3749404,212.03392
3651101_9015238,0.98740697,-51.40835,-2.3455257,212.9122
10583636_3651101,0.987211,-52.393063,-2.3935976,214.84662
9853566_9015238,0.98077255,-65.08401,-2.9183679,216.91937
3468958_13454005,0.98052704,-65.89901,-3.0294135,222.49939
2119494_1003691,0.9073217,-144.88077,-6.5790286,211.65244
1003691_17149043,0.85710955,-177.96002,-7.959043,188.71774
11966281_3206224,0.88619924,-159.36655,-7.301579,207.58052
3206224_13320647,0.6594752,-267.40952,-12.0913725,139.33807
3206224_6086970,0.96944433,-82.48393,-3.7688782,224.89117
17557493_14020037,0.9755526,-74.08763,-3.3966923,229.13174
2049050_4886484,0.9770457,-73.892075,-3.3515446,238.2413
2049050_10612568,0.975333,-75.68898,-3.4734945,237.70288
12626208_12808324,0.98916864,-46.114483,-2.0930145,198.47736
12626208_8839978,0.9875156,-49.348648,-2.251297,200.43417
16182625_16583476,0.9273424,-126.029045,-5.790527,208.97472
2899592_10633151,0.92287064,-122.45128,-5.580775,174.27615
12981473_8831572,0.99040604,-49.35038,-2.2779286,267.83124
1382848_11587569,0.9855686,-62.06789,-2.8033795,267.3507
12981473_10734723,0.98868185,-54.919563,-2.4856522,269.29868
16756730_3705669,0.9611526,-86.58816,-3.9769948,195.11938
11617218_15595762,0.59210503,-282.66516,-12.82802,119.291626
15595762_9750518,0.9212883,-125.53985,-5.755601,190.1323
15950531_4611531,0.5124293,-318.75415,-14.409342,108.994446
11751398_4246294,0.98432064,-56.27742,-2.5417743,201.35323
11751398_4948558,0.9705832,-77.69231,-3.520552,203.97055
5756721_11381635,0.9534495,-92.10318,-4.1293206,173.32066
3650411_5756721,0.9610528,-82.20824,-3.7134435,170.13533
3696193_8124195,0.95750344,-99.336975,-4.555795,232.69022
9070405_17484970,0.9978682,-22.263296,-1.0191301,242.39221
3696193_9070405,0.9558151,-100.51562,-4.617726,230.27972
12260429_13890232,0.9688058,-82.610825,-3.6780658,209.40117
17270299_17156537,0.99317586,-38.20227,-1.740646,220.31113
17156537_15708200,0.9807614,-64.433395,-2.9126592,214.87949
14935779_7470429,0.96014345,-88.9202,-4.0017343,192.88596
17550301_7346907,0.9530704,-97.06857,-4.346714,191.37418
