ingredients_list,gpt-3_classification
1/3  cup   toasted pumpkin seeds. 4   ounces   softened reduced-fat cream cheese or 4   ounces    cream cheese. 4   ounces    goat cheese (I used La Buchette with Fine Herbs). 1 (16   ounce) jar   salsa (Frontera Jalapeno Cilantro recommended). chopped fresh cilantro,"
{
    ""Vegetarian"": true,
    ""Low-Fat"": true,
    ""Gluten-Free"": true,
    ""Dairy-Free"": false,
    ""Keto"": false,
    ""Paleo"": false
}"
2   tablespoons   melted margarine. 1   tablespoon    potato starch. 1   cup    vegetable broth. 1   cup   grated carrot. 1/2  cup    ketchup. salt and pepper,"
{
    ""Vegan"": true,
    ""Gluten-Free"": true,
    ""Low-Fat"": true,
    ""Low-Sodium"": true
}"
"200   g    chickpeas, mashed. 1       carrot, shredded. 1       parsnip, shredded. 2       spring onions, finely chopped. 1       egg. 1       chili, finely chopped. 1   tablespoon    thyme leaves. 2       garlic cloves, minced. 1   teaspoon    cumin. 1   teaspoon    paprika. 1   teaspoon    fenugreek seeds. 1/2  teaspoon    turmeric. 1/2  teaspoon    sea salt. 1/2  teaspoon    fresh ground pepper","
{
    ""Vegan"": true,
    ""Vegetarian"": true,
    ""Gluten-Free"": true,
    ""Dairy-Free"": true,
    ""Nut-Free"": true
}"
"1   tablespoon    butter. 2       leeks, white parts only,sliced. 2   cups    frozen peas. 2   cups   torn fresh spinach, packed. 2   cups    chicken stock. 1/4  teaspoon    dried savory. salt & freshly ground black pepper. plain yogurt","
{
    ""Vegetarian"": false,
    ""Vegan"": false,
    ""Gluten-Free"": true,
    ""Dairy-Free"": false,
    ""Keto"": false,
    ""Paleo"": false
}"
1/2  cup    sugar. 1/2  cup    butter. 3/4  cup    flour,"
{
  ""tags"": [
    ""high-sugar"",
    ""high-fat"",
    ""high-carbohydrate""
  ]
}"
"2   lbs    baby back ribs. 3/4  cup    brown sugar, chipotle rub  (McCormicks sweet & smoky is best). 1 1/2  cups    barbecue sauce (Sweet Baby Ray's is best). 3/4  cup    butter. 3/4  cup    water","
{
    ""Vegetarian"": false,
    ""Vegan"": false,
    ""Gluten-Free"": true,
    ""Dairy-Free"": false,
    ""Keto"": false,
    ""Paleo"": false
}"
2   cups    warm water. 4 1/2  teaspoons    yeast. 1/2  cup    sugar. 1/2  cup    soft margarine or 1/2  cup    shortening. 1       egg. 1   teaspoon    salt. 7   cups    flour,"
{
    ""Vegetarian"": true,
    ""Vegan"": false,
    ""Gluten-Free"": false,
    ""Dairy-Free"": false,
    ""Keto"": false,
    ""Paleo"": false
}"
"5   slices    bacon, cut in 1/2 inch pieces. 1   medium    onion, coarsely chopped. 2 (10   ounce) cans  campbell condensed cream of potato soup. 2 (10   ounce) cans   evaporated milk. 1 (5   ounce) can   baby clams or 1 (5   ounce) can   minced clams, undrained","
{
    ""Vegetarian"": false,
    ""Vegan"": false,
    ""Gluten-Free"": true,
    ""Dairy-Free"": false,
    ""Nut-Free"": true
}"
1   teaspoon    chili powder. 1/4  teaspoon    celery seed. 1/2  teaspoon    nutmeg. 1/2  teaspoon    coriander. 1   teaspoon    onion powder. 1   teaspoon    paprika. 1/4  teaspoon    garlic powder. 1   teaspoon    turmeric,"
{
    ""Vegan"": true,
    ""Vegetarian"": true,
    ""Gluten-Free"": true,
    ""Dairy-Free"": true,
    ""Nut-Free"": true,
    ""Soy-Free"": true
}"
"2   lbs    boiling potatoes, peeled and cubed. 1/4  cup    basil pesto. 1/2  cup    heavy cream. 4   tablespoons    butter. salt and pepper","
{
    ""Vegetarian"": true,
    ""Gluten-Free"": true,
    ""Dairy-Free"": false,
    ""Low-Carb"": false,
    ""Low-Fat"": false
}"
2   cups    whole wheat flour. 1   teaspoon    baking powder. 1/2  teaspoon    salt. 2   tablespoons    olive oil. 1/2  cup    warm water (more or less as needed),"
{
    ""Gluten-Free"": false,
    ""Vegan"": false,
    ""Vegetarian"": true,
    ""Keto"": false,
    ""Paleo"": false
}"
"1   lb    ground beef. 1   small    onion, chopped. 1 (4   ounce) can   diced green chilies. 2       eggs, beaten. 1/2  cup    mayonnaise. 1/4  cup    water. 1/4  cup    heavy cream. 1/2  teaspoon    cumin. 1/8  teaspoon    cayenne pepper. 1   cup    Mexican blend cheese, shredded","
{
    ""gluten-free"": true,
    ""dairy-free"": false,
    ""vegan"": false,
    ""vegetarian"": false,
    ""paleo"": false,
    ""keto"": false
}"
1   tablespoon    paprika. 1   teaspoon    salt. 2   teaspoons    thyme. 2   teaspoons    oregano. 2   teaspoons    garlic powder. 1   teaspoon    ground black pepper. 1   teaspoon    ground red pepper. 8       catfish fillets,"
{
    ""Vegan"": false,
    ""Vegetarian"": false,
    ""Gluten-Free"": true,
    ""Dairy-Free"": true,
    ""Nut-Free"": true
}"
5       wonton wrappers. 1/2  cup    Italian-style tomato sauce. 1 (125   g)   can kidney beans. 1   tablespoon   grated onion. 1   tablespoon   grated carrot. 1   small    garlic clove. 1   pinch    dried chili. 1/4  cup    ricotta cheese. 1/4  cup    milk. 1/2  teaspoon    salt. 1 -2   teaspoon   chopped basil or 1 -2   teaspoon    thyme. 1/2  tablespoon    cooking oil,"
{
    ""Vegetarian"": true,
    ""Vegan"": false,
    ""Gluten-Free"": false,
    ""Dairy-Free"": false,
    ""Nut-Free"": true
}"
"1   lb    ground beef. 1   cup    beef bouillon granules. 1   lb    ground pork. 1/2  lb    ground lamb. 1   teaspoon    thyme. 4       garlic cloves, minced. 1   teaspoon    paprika. 1   teaspoon    ground black pepper. 1   tablespoon    salt. 1/2  cup    soda water, plain. 1/2  teaspoon    baking soda","
{
    ""Gluten-Free"": true,
    ""Keto"": true,
    ""Low-Carb"": true,
    ""Paleo"": true,
    ""Vegetarian"": false,
    ""Vegan"": false
}"
"cooking spray. 2 1/2  cups    whole wheat flour. 1/2  cup    all-purpose flour. 1/2  cup    steel cut oats. 2   tablespoons    brown sugar. 1   tablespoon    wheat germ. 1   teaspoon    baking soda. 1   teaspoon    baking powder. 1/2  teaspoon    salt. 2   cups    low-fat buttermilk. 1   large    egg, lightly beaten","
{
    ""Vegetarian"": true,
    ""Gluten-Free"": false,
    ""Dairy-Free"": false,
    ""Low-Fat"": true,
    ""Low-Carb"": false
}"
2   cups   shredded cooked chicken. 3   large    eggs. 1/4  cup    canned mushroom. 1   tablespoon    flour. 1   cup    evaporated milk. 1/4  cup    cheddar cheese. 1/4  cup   slivered sweet green pepper. 1/2  teaspoon    salt. 1/4  cup   dry cooking sherry. 2   tablespoons    margarine,"
{
    ""Vegetarian"": false,
    ""Vegan"": false,
    ""Gluten-Free"": false,
    ""Dairy-Free"": false,
    ""Keto"": false,
    ""Paleo"": false
}"
"2   cups    barley. 2   teaspoons    salt. 1   teaspoon    cinnamon. 1   teaspoon    nutmeg. 1/2  teaspoon    coriander. 10   cups    water. 1 1/2  cups    raisins. 2   cups   chopped dried fruit (whatever you feel like, some ideas are apples, apricots, prunes). 1/3-2/3  cup    honey, depending on the sweetness desired","
{
    ""Vegan"": true,
    ""Gluten-Free"": false,
    ""Dairy-Free"": true,
    ""Sugar-Free"": false,
    ""Low-Carb"": false,
    ""Low-Fat"": false
}"
